name,token_ids,reaction_ids,product_smiles,entropy,score
BB-0337 BB-0679,"[337, 679]",[108],CCOC(=O)c1n[nH]c2c1CN(C(c1ccc3c(c1)CCC(=O)N3)C(C)Br)CC2,6.357180118560791,0.8676487118293357
BB-1862 BB-1798,"[1862, 1798]",[66],CCOC(=O)c1cc2c([nH]1)CCCC2(O)c1cc(C(=O)O)cc2nc(N)n(C)c12,6.350019931793213,0.8495441555459826
BB-0028 BB-1387,"[28, 1387]",[108],CCn1c(N)c(C(CCl)N2C[C@@H](C(=O)OC)[C@H](c3cc(F)cc(F)c3)C2)c(=O)[nH]c1=O,6.368100166320801,0.8493322562447007
BB-0878 BB-0205,"[878, 205]",[71],CNCc1cc2c(cc1N1CCC(Oc3ncccc3Br)CC1)OCO2,6.363622188568115,0.8483494319529716
BB-0880 BB-1562,"[880, 1562]",[5],Cc1cc(O)c(C(=O)CCC(=O)O)cc1NC1CCOCc2c(Br)cncc21,6.363696098327637,0.8462943749763244
BB-0295 BB-0721,"[295, 721]",[33],COC(=O)c1ccc(C)c(Br)c1NC1CCC2CN(C(C)=O)c3cccc1c32,6.367015838623047,0.8432019523969705
BB-0698 BB-1209,"[698, 1209]",[5],CCOC(=O)C1(F)CN(c2cc(-c3ncn(C)n3)ccc2C)CC12CCC2,6.344512939453125,0.8427871448414711
BB-0501 BB-0721,"[501, 721]",[125],COc1ccc2c(c1)c1c(n2C2(C(=O)O)CCC3CN(C(C)=O)c4cccc2c43)C(=O)CCC1,6.350365161895752,0.8423570276263456
BB-1352 BB-0337,"[1352, 337]",[33],Cc1noc(CC2(O)CCCN(C(c3ccc4c(c3)CCC(=O)N4)C(C)Br)C2)n1,6.341867446899414,0.8414755359639292
BB-1861 BB-0698,"[1861, 698]",[79],CCOC(=O)C1(F)CN(c2sc(CC)cc2C(=O)O)CC12CCC2,6.3087968826293945,0.8373114732690036
BB-1862 BB-0757,"[1862, 757]",[50],CCOC(=O)c1cc2c([nH]1)CCCC2(Oc1c(C)cc(C=O)cc1CC)C(=O)O,6.350019931793213,0.8371071723413078
BB-0846 BB-1663,"[846, 1663]",[4],CC(C)Cn1c(NC(=O)c2cc3c(oc2=O)CCCC3=O)c(C(=O)CCl)c(=O)[nH]c1=O,6.365951061248779,0.836154698227039
BB-1238 BB-1912,"[1238, 1912]",[33],COC(=O)C1CN(C2CCc3cc(NC(C)=O)c(Br)cc32)c2ccc(Br)cc21,6.360935211181641,0.8353908702769702
BB-1653 BB-1037,"[1653, 1037]",[141],Cc1ccc2c(CC(=O)O)c(C(C)(O)CC(=O)N3CCN(C)C3=O)oc2c1,6.343317031860352,0.8347735532143906
BB-1238 BB-0794,"[1238, 794]",[141],COC(=O)C1CNc2ccc(C3(O)CC(C)c4c(C)ccc(OCC(=O)O)c43)cc21,6.360935211181641,0.8347155780694332
BB-0934 BB-1131,"[934, 1131]",[66],CCOC(=O)c1cc(C2(O)C(=O)Nc3c2ccc(Cl)c3OC)cc(CC)c1N,6.3570356369018555,0.8337339507340995
BB-1862 BB-1369,"[1862, 1369]",[66],CCOC(=O)c1cc2c([nH]1)CCCC2(O)c1cc(C)cc(C(N)C(=O)OC)c1,6.350019931793213,0.8281462304746116
BB-1470 BB-0337,"[1470, 337]",[141],CC(Br)C(O)(c1ccc2c(c1)CCC(=O)N2)c1ccc(/C=C/C(=O)O)cc1C(F)(F)F,6.307144641876221,0.8276595169032586
